Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Helsingborg A;62040;2.0

Parameternamn;Beskrivning;Enhet
Nederbörd;1 gång/dygn, kl 18;code

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1998-12-18 18:00:01;1998-12-19 18:00:00;1998-12-19;Obestämd nederbördstyp;G
1998-12-18 18:00:01;1998-12-19 18:00:00;1998-12-19;duggregn;G
1998-12-18 18:00:01;1998-12-19 18:00:00;1998-12-19;regnskurar;G
1998-12-19 18:00:01;1998-12-20 18:00:00;1998-12-20;snöblandat regn;G
1998-12-19 18:00:01;1998-12-20 18:00:00;1998-12-20;snowfall;G
1998-12-19 18:00:01;1998-12-20 18:00:00;1998-12-20;duggregn;G
1998-12-19 18:00:01;1998-12-20 18:00:00;1998-12-20;Obestämd nederbördstyp;G
1998-12-22 18:00:01;1998-12-23 18:00:00;1998-12-23;Obestämd nederbördstyp;G
1998-12-22 18:00:01;1998-12-23 18:00:00;1998-12-23;regnskurar;G
1998-12-22 18:00:01;1998-12-23 18:00:00;1998-12-23;duggregn;G
1998-12-23 18:00:01;1998-12-24 18:00:00;1998-12-24;snöblandat regn;G
1998-12-23 18:00:01;1998-12-24 18:00:00;1998-12-24;kornsnö;G
1998-12-23 18:00:01;1998-12-24 18:00:00;1998-12-24;regn;G
1998-12-23 18:00:01;1998-12-24 18:00:00;1998-12-24;duggregn;G
1998-12-23 18:00:01;1998-12-24 18:00:00;1998-12-24;Obestämd nederbördstyp;G
1998-12-24 18:00:01;1998-12-25 18:00:00;1998-12-25;Obestämd nederbördstyp;G
1998-12-24 18:00:01;1998-12-25 18:00:00;1998-12-25;duggregn;G
1998-12-24 18:00:01;1998-12-25 18:00:00;1998-12-25;regn;G
1998-12-25 18:00:01;1998-12-26 18:00:00;1998-12-26;regnskurar;G
1998-12-25 18:00:01;1998-12-26 18:00:00;1998-12-26;Obestämd nederbördstyp;G
1998-12-25 18:00:01;1998-12-26 18:00:00;1998-12-26;regn;G
1998-12-26 18:00:01;1998-12-27 18:00:00;1998-12-27;Obestämd nederbördstyp;G
1998-12-26 18:00:01;1998-12-27 18:00:00;1998-12-27;regn;G
1998-12-27 18:00:01;1998-12-28 18:00:00;1998-12-28;Obestämd nederbördstyp;G
1998-12-27 18:00:01;1998-12-28 18:00:00;1998-12-28;duggregn;G
1998-12-27 18:00:01;1998-12-28 18:00:00;1998-12-28;regn;G
1998-12-28 18:00:01;1998-12-29 18:00:00;1998-12-29;regnskurar;G
1999-01-02 18:00:01;1999-01-03 18:00:00;1999-01-03;regn;G
1999-01-02 18:00:01;1999-01-03 18:00:00;1999-01-03;Obestämd nederbördstyp;G
1999-01-02 18:00:01;1999-01-03 18:00:00;1999-01-03;regnskurar;G
1999-01-02 18:00:01;1999-01-03 18:00:00;1999-01-03;duggregn;G
1999-01-03 18:00:01;1999-01-04 18:00:00;1999-01-04;regn;G
1999-01-04 18:00:01;1999-01-05 18:00:00;1999-01-05;regn;G
1999-01-04 18:00:01;1999-01-05 18:00:00;1999-01-05;Obestämd nederbördstyp;G
1999-01-05 18:00:01;1999-01-06 18:00:00;1999-01-06;duggregn;G
1999-01-05 18:00:01;1999-01-06 18:00:00;1999-01-06;regn;G
1999-01-06 18:00:01;1999-01-07 18:00:00;1999-01-07;duggregn;G
1999-01-06 18:00:01;1999-01-07 18:00:00;1999-01-07;Obestämd nederbördstyp;G
1999-01-06 18:00:01;1999-01-07 18:00:00;1999-01-07;regn;G
1999-01-09 18:00:01;1999-01-10 18:00:00;1999-01-10;snowfall;G
1999-01-10 18:00:01;1999-01-11 18:00:00;1999-01-11;snowfall;G
1999-01-10 18:00:01;1999-01-11 18:00:00;1999-01-11;Obestämd nederbördstyp;G
1999-01-10 18:00:01;1999-01-11 18:00:00;1999-01-11;kornsnö;G
1999-01-11 18:00:01;1999-01-12 18:00:00;1999-01-12;snowfall;G
1999-01-11 18:00:01;1999-01-12 18:00:00;1999-01-12;Obestämd nederbördstyp;G
1999-01-12 18:00:01;1999-01-13 18:00:00;1999-01-13;snowfall;G
1999-01-12 18:00:01;1999-01-13 18:00:00;1999-01-13;Obestämd nederbördstyp;G
1999-01-13 18:00:01;1999-01-14 18:00:00;1999-01-14;snöbyar;G
1999-01-13 18:00:01;1999-01-14 18:00:00;1999-01-14;duggregn;G
1999-01-13 18:00:01;1999-01-14 18:00:00;1999-01-14;kornsnö;G
1999-01-13 18:00:01;1999-01-14 18:00:00;1999-01-14;Obestämd nederbördstyp;G
1999-01-13 18:00:01;1999-01-14 18:00:00;1999-01-14;regnskurar;G
1999-01-13 18:00:01;1999-01-14 18:00:00;1999-01-14;snowfall;G
1999-01-14 18:00:01;1999-01-15 18:00:00;1999-01-15;regn;G
1999-01-14 18:00:01;1999-01-15 18:00:00;1999-01-15;duggregn;G
1999-01-14 18:00:01;1999-01-15 18:00:00;1999-01-15;snöblandat regn;G
1999-01-14 18:00:01;1999-01-15 18:00:00;1999-01-15;Obestämd nederbördstyp;G
1999-01-14 18:00:01;1999-01-15 18:00:00;1999-01-15;regnskurar;G
1999-01-15 18:00:01;1999-01-16 18:00:00;1999-01-16;regn;G
1999-01-15 18:00:01;1999-01-16 18:00:00;1999-01-16;Obestämd nederbördstyp;G
1999-01-15 18:00:01;1999-01-16 18:00:00;1999-01-16;duggregn;G
1999-01-15 18:00:01;1999-01-16 18:00:00;1999-01-16;regnskurar;G
1999-01-18 18:00:01;1999-01-19 18:00:00;1999-01-19;regn;G
1999-01-19 18:00:01;1999-01-20 18:00:00;1999-01-20;duggregn;G
1999-01-19 18:00:01;1999-01-20 18:00:00;1999-01-20;regn;G
1999-01-19 18:00:01;1999-01-20 18:00:00;1999-01-20;regnskurar;G
1999-01-19 18:00:01;1999-01-20 18:00:00;1999-01-20;Obestämd nederbördstyp;G
1999-01-20 18:00:01;1999-01-21 18:00:00;1999-01-21;duggregn;G
1999-01-20 18:00:01;1999-01-21 18:00:00;1999-01-21;Obestämd nederbördstyp;G
1999-01-20 18:00:01;1999-01-21 18:00:00;1999-01-21;regn;G
1999-01-20 18:00:01;1999-01-21 18:00:00;1999-01-21;regnskurar;G
1999-01-23 18:00:01;1999-01-24 18:00:00;1999-01-24;regn;G
1999-01-23 18:00:01;1999-01-24 18:00:00;1999-01-24;Obestämd nederbördstyp;G
1999-01-23 18:00:01;1999-01-24 18:00:00;1999-01-24;duggregn;G
1999-01-24 18:00:01;1999-01-25 18:00:00;1999-01-25;regnskurar;G
1999-01-24 18:00:01;1999-01-25 18:00:00;1999-01-25;regn;G
1999-01-24 18:00:01;1999-01-25 18:00:00;1999-01-25;Obestämd nederbördstyp;G
1999-01-25 18:00:01;1999-01-26 18:00:00;1999-01-26;Obestämd nederbördstyp;G
1999-01-25 18:00:01;1999-01-26 18:00:00;1999-01-26;regn;G
1999-01-26 18:00:01;1999-01-27 18:00:00;1999-01-27;iskorn;G
1999-01-26 18:00:01;1999-01-27 18:00:00;1999-01-27;snowfall;G
1999-01-26 18:00:01;1999-01-27 18:00:00;1999-01-27;kornsnö;G
1999-01-26 18:00:01;1999-01-27 18:00:00;1999-01-27;regnskurar;G
1999-01-26 18:00:01;1999-01-27 18:00:00;1999-01-27;snöblandat regn;G
1999-01-26 18:00:01;1999-01-27 18:00:00;1999-01-27;regn;G
1999-01-26 18:00:01;1999-01-27 18:00:00;1999-01-27;duggregn;G
1999-01-26 18:00:01;1999-01-27 18:00:00;1999-01-27;Obestämd nederbördstyp;G
1999-01-27 18:00:01;1999-01-28 18:00:00;1999-01-28;snowfall;G
1999-01-27 18:00:01;1999-01-28 18:00:00;1999-01-28;kornsnö;G
1999-01-30 18:00:01;1999-01-31 18:00:00;1999-01-31;duggregn;G
1999-01-30 18:00:01;1999-01-31 18:00:00;1999-01-31;kornsnö;G
1999-01-30 18:00:01;1999-01-31 18:00:00;1999-01-31;snowfall;G
1999-02-01 18:00:01;1999-02-02 18:00:00;1999-02-02;kornsnö;G
1999-02-02 18:00:01;1999-02-03 18:00:00;1999-02-03;Obestämd nederbördstyp;G
1999-02-03 18:00:01;1999-02-04 18:00:00;1999-02-04;duggregn;G
1999-02-03 18:00:01;1999-02-04 18:00:00;1999-02-04;Obestämd nederbördstyp;G
1999-02-03 18:00:01;1999-02-04 18:00:00;1999-02-04;regn;G
1999-02-03 18:00:01;1999-02-04 18:00:00;1999-02-04;regnskurar;G
1999-02-04 18:00:01;1999-02-05 18:00:00;1999-02-05;regn;G
1999-02-04 18:00:01;1999-02-05 18:00:00;1999-02-05;Obestämd nederbördstyp;G
1999-02-04 18:00:01;1999-02-05 18:00:00;1999-02-05;snowfall;G
1999-02-06 18:00:01;1999-02-07 18:00:00;1999-02-07;snöblandat regn;G
1999-02-06 18:00:01;1999-02-07 18:00:00;1999-02-07;snöbyar;G
1999-02-06 18:00:01;1999-02-07 18:00:00;1999-02-07;snowfall;G
1999-02-07 18:00:01;1999-02-08 18:00:00;1999-02-08;snowfall;G
1999-02-07 18:00:01;1999-02-08 18:00:00;1999-02-08;snöblandat regn;G
1999-02-07 18:00:01;1999-02-08 18:00:00;1999-02-08;Obestämd nederbördstyp;G
1999-02-07 18:00:01;1999-02-08 18:00:00;1999-02-08;iskorn;G
1999-02-08 18:00:01;1999-02-09 18:00:00;1999-02-09;Obestämd nederbördstyp;G
1999-02-11 18:00:01;1999-02-12 18:00:00;1999-02-12;Obestämd nederbördstyp;G
1999-02-13 18:00:01;1999-02-14 18:00:00;1999-02-14;Obestämd nederbördstyp;G
1999-02-13 18:00:01;1999-02-14 18:00:00;1999-02-14;kornsnö;G
1999-02-14 18:00:01;1999-02-15 18:00:00;1999-02-15;snowfall;G
1999-02-15 18:00:01;1999-02-16 18:00:00;1999-02-16;iskorn;G
1999-02-15 18:00:01;1999-02-16 18:00:00;1999-02-16;Obestämd nederbördstyp;G
1999-02-15 18:00:01;1999-02-16 18:00:00;1999-02-16;duggregn;G
1999-02-15 18:00:01;1999-02-16 18:00:00;1999-02-16;regnskurar;G
1999-02-15 18:00:01;1999-02-16 18:00:00;1999-02-16;regn;G
1999-02-15 18:00:01;1999-02-16 18:00:00;1999-02-16;snowfall;G
1999-02-16 18:00:01;1999-02-17 18:00:00;1999-02-17;snöbyar;G
1999-02-16 18:00:01;1999-02-17 18:00:00;1999-02-17;snowfall;G
1999-02-17 18:00:01;1999-02-18 18:00:00;1999-02-18;snowfall;G
1999-02-18 18:00:01;1999-02-19 18:00:00;1999-02-19;regnskurar;G
1999-02-18 18:00:01;1999-02-19 18:00:00;1999-02-19;regn;G
1999-02-18 18:00:01;1999-02-19 18:00:00;1999-02-19;duggregn;G
1999-02-18 18:00:01;1999-02-19 18:00:00;1999-02-19;snowfall;G
1999-02-19 18:00:01;1999-02-20 18:00:00;1999-02-20;Obestämd nederbördstyp;G
1999-02-20 18:00:01;1999-02-21 18:00:00;1999-02-21;Obestämd nederbördstyp;G
1999-02-20 18:00:01;1999-02-21 18:00:00;1999-02-21;regnskurar;G
1999-02-20 18:00:01;1999-02-21 18:00:00;1999-02-21;duggregn;G
1999-02-20 18:00:01;1999-02-21 18:00:00;1999-02-21;regn;G
1999-02-21 18:00:01;1999-02-22 18:00:00;1999-02-22;snowfall;G
1999-02-21 18:00:01;1999-02-22 18:00:00;1999-02-22;iskorn;G
1999-02-21 18:00:01;1999-02-22 18:00:00;1999-02-22;regnskurar;G
1999-02-21 18:00:01;1999-02-22 18:00:00;1999-02-22;Obestämd nederbördstyp;G
1999-02-21 18:00:01;1999-02-22 18:00:00;1999-02-22;regn;G
1999-02-22 18:00:01;1999-02-23 18:00:00;1999-02-23;snowfall;G
1999-02-23 18:00:01;1999-02-24 18:00:00;1999-02-24;Obestämd nederbördstyp;G
1999-02-23 18:00:01;1999-02-24 18:00:00;1999-02-24;snowfall;G
1999-02-24 18:00:01;1999-02-25 18:00:00;1999-02-25;Obestämd nederbördstyp;G
1999-02-25 18:00:01;1999-02-26 18:00:00;1999-02-26;regn;G
1999-02-25 18:00:01;1999-02-26 18:00:00;1999-02-26;Obestämd nederbördstyp;G
1999-02-25 18:00:01;1999-02-26 18:00:00;1999-02-26;iskorn;G
1999-02-25 18:00:01;1999-02-26 18:00:00;1999-02-26;snöbyar;G
1999-02-25 18:00:01;1999-02-26 18:00:00;1999-02-26;duggregn;G
1999-02-25 18:00:01;1999-02-26 18:00:00;1999-02-26;regnskurar;G
1999-02-25 18:00:01;1999-02-26 18:00:00;1999-02-26;snöblandat regn;G
1999-02-26 18:00:01;1999-02-27 18:00:00;1999-02-27;Obestämd nederbördstyp;G
1999-02-26 18:00:01;1999-02-27 18:00:00;1999-02-27;duggregn;G
1999-02-26 18:00:01;1999-02-27 18:00:00;1999-02-27;regn;G
1999-02-27 18:00:01;1999-02-28 18:00:00;1999-02-28;regn;G
1999-02-27 18:00:01;1999-02-28 18:00:00;1999-02-28;duggregn;G
1999-02-27 18:00:01;1999-02-28 18:00:00;1999-02-28;Obestämd nederbördstyp;G
1999-02-28 18:00:01;1999-03-01 18:00:00;1999-03-01;regn;G
1999-02-28 18:00:01;1999-03-01 18:00:00;1999-03-01;Obestämd nederbördstyp;G
1999-03-02 18:00:01;1999-03-03 18:00:00;1999-03-03;regnskurar;G
1999-03-02 18:00:01;1999-03-03 18:00:00;1999-03-03;regn;G
1999-03-02 18:00:01;1999-03-03 18:00:00;1999-03-03;snowfall;G
1999-03-02 18:00:01;1999-03-03 18:00:00;1999-03-03;Obestämd nederbördstyp;G
1999-03-02 18:00:01;1999-03-03 18:00:00;1999-03-03;duggregn;G
1999-03-03 18:00:01;1999-03-04 18:00:00;1999-03-04;regn;G
1999-03-03 18:00:01;1999-03-04 18:00:00;1999-03-04;Obestämd nederbördstyp;G
1999-03-03 18:00:01;1999-03-04 18:00:00;1999-03-04;regnskurar;G
1999-03-03 18:00:01;1999-03-04 18:00:00;1999-03-04;duggregn;G
1999-03-04 18:00:01;1999-03-05 18:00:00;1999-03-05;Obestämd nederbördstyp;G
1999-03-05 18:00:01;1999-03-06 18:00:00;1999-03-06;duggregn;G
1999-03-05 18:00:01;1999-03-06 18:00:00;1999-03-06;regn;G
1999-03-05 18:00:01;1999-03-06 18:00:00;1999-03-06;Obestämd nederbördstyp;G
1999-03-06 18:00:01;1999-03-07 18:00:00;1999-03-07;snowfall;G
1999-03-06 18:00:01;1999-03-07 18:00:00;1999-03-07;regn;G
1999-03-06 18:00:01;1999-03-07 18:00:00;1999-03-07;duggregn;G
1999-03-06 18:00:01;1999-03-07 18:00:00;1999-03-07;Obestämd nederbördstyp;G
1999-03-06 18:00:01;1999-03-07 18:00:00;1999-03-07;snöblandat regn;G
1999-03-07 18:00:01;1999-03-08 18:00:00;1999-03-08;Obestämd nederbördstyp;G
1999-03-07 18:00:01;1999-03-08 18:00:00;1999-03-08;regn;G
1999-03-07 18:00:01;1999-03-08 18:00:00;1999-03-08;regnskurar;G
1999-03-07 18:00:01;1999-03-08 18:00:00;1999-03-08;duggregn;G
1999-03-08 18:00:01;1999-03-09 18:00:00;1999-03-09;regn;G
1999-03-08 18:00:01;1999-03-09 18:00:00;1999-03-09;snowfall;G
1999-03-08 18:00:01;1999-03-09 18:00:00;1999-03-09;duggregn;G
1999-03-08 18:00:01;1999-03-09 18:00:00;1999-03-09;regnskurar;G
1999-03-08 18:00:01;1999-03-09 18:00:00;1999-03-09;iskorn;G
1999-03-08 18:00:01;1999-03-09 18:00:00;1999-03-09;Obestämd nederbördstyp;G
1999-03-09 18:00:01;1999-03-10 18:00:00;1999-03-10;snowfall;G
1999-03-10 18:00:01;1999-03-11 18:00:00;1999-03-11;Obestämd nederbördstyp;G
1999-03-13 18:00:01;1999-03-14 18:00:00;1999-03-14;snöbyar;G
1999-03-14 18:00:01;1999-03-15 18:00:00;1999-03-15;Obestämd nederbördstyp;G
1999-03-14 18:00:01;1999-03-15 18:00:00;1999-03-15;iskorn;G
1999-03-14 18:00:01;1999-03-15 18:00:00;1999-03-15;snowfall;G
1999-03-14 18:00:01;1999-03-15 18:00:00;1999-03-15;snöblandat regn;G
1999-03-14 18:00:01;1999-03-15 18:00:00;1999-03-15;kornsnö;G
1999-03-18 18:00:01;1999-03-19 18:00:00;1999-03-19;regnskurar;G
1999-03-18 18:00:01;1999-03-19 18:00:00;1999-03-19;regn;G
1999-03-18 18:00:01;1999-03-19 18:00:00;1999-03-19;duggregn;G
1999-03-18 18:00:01;1999-03-19 18:00:00;1999-03-19;Obestämd nederbördstyp;G
1999-03-20 18:00:01;1999-03-21 18:00:00;1999-03-21;Obestämd nederbördstyp;G
1999-03-21 18:00:01;1999-03-22 18:00:00;1999-03-22;regnskurar;G
1999-03-21 18:00:01;1999-03-22 18:00:00;1999-03-22;Obestämd nederbördstyp;G
1999-03-21 18:00:01;1999-03-22 18:00:00;1999-03-22;duggregn;G
1999-03-22 18:00:01;1999-03-23 18:00:00;1999-03-23;snowfall;G
1999-03-22 18:00:01;1999-03-23 18:00:00;1999-03-23;Obestämd nederbördstyp;G
1999-03-22 18:00:01;1999-03-23 18:00:00;1999-03-23;regn;G
1999-03-22 18:00:01;1999-03-23 18:00:00;1999-03-23;regnskurar;G
1999-03-22 18:00:01;1999-03-23 18:00:00;1999-03-23;iskorn;G
1999-03-22 18:00:01;1999-03-23 18:00:00;1999-03-23;duggregn;G
1999-03-23 18:00:01;1999-03-24 18:00:00;1999-03-24;snöblandat regn;G
1999-03-23 18:00:01;1999-03-24 18:00:00;1999-03-24;Obestämd nederbördstyp;G
1999-03-23 18:00:01;1999-03-24 18:00:00;1999-03-24;regn;G
1999-03-23 18:00:01;1999-03-24 18:00:00;1999-03-24;duggregn;G
1999-03-24 18:00:01;1999-03-25 18:00:00;1999-03-25;Obestämd nederbördstyp;G
1999-03-25 18:00:01;1999-03-26 18:00:00;1999-03-26;regn;G
1999-03-25 18:00:01;1999-03-26 18:00:00;1999-03-26;Obestämd nederbördstyp;G
1999-03-25 18:00:01;1999-03-26 18:00:00;1999-03-26;duggregn;G
1999-03-25 18:00:01;1999-03-26 18:00:00;1999-03-26;regnskurar;G
1999-03-26 18:00:01;1999-03-27 18:00:00;1999-03-27;regn;G
1999-03-26 18:00:01;1999-03-27 18:00:00;1999-03-27;Obestämd nederbördstyp;G
1999-03-30 18:00:01;1999-03-31 18:00:00;1999-03-31;regnskurar;G
1999-03-30 18:00:01;1999-03-31 18:00:00;1999-03-31;duggregn;G
1999-03-30 18:00:01;1999-03-31 18:00:00;1999-03-31;regn;G
1999-03-30 18:00:01;1999-03-31 18:00:00;1999-03-31;Obestämd nederbördstyp;G
1999-04-04 18:00:01;1999-04-05 18:00:00;1999-04-05;regn;G
1999-04-05 18:00:01;1999-04-06 18:00:00;1999-04-06;duggregn;G
1999-04-05 18:00:01;1999-04-06 18:00:00;1999-04-06;regn;G
1999-04-05 18:00:01;1999-04-06 18:00:00;1999-04-06;regnskurar;G
1999-04-06 18:00:01;1999-04-07 18:00:00;1999-04-07;duggregn;G
1999-04-06 18:00:01;1999-04-07 18:00:00;1999-04-07;regn;G
1999-04-06 18:00:01;1999-04-07 18:00:00;1999-04-07;Obestämd nederbördstyp;G
1999-04-06 18:00:01;1999-04-07 18:00:00;1999-04-07;regnskurar;G
1999-04-08 18:00:01;1999-04-09 18:00:00;1999-04-09;Obestämd nederbördstyp;G
1999-04-10 18:00:01;1999-04-11 18:00:00;1999-04-11;Obestämd nederbördstyp;G
1999-04-10 18:00:01;1999-04-11 18:00:00;1999-04-11;regn;G
1999-04-11 18:00:01;1999-04-12 18:00:00;1999-04-12;duggregn;G
1999-04-11 18:00:01;1999-04-12 18:00:00;1999-04-12;Obestämd nederbördstyp;G
1999-04-11 18:00:01;1999-04-12 18:00:00;1999-04-12;regnskurar;G
1999-04-11 18:00:01;1999-04-12 18:00:00;1999-04-12;regn;G
1999-04-12 18:00:01;1999-04-13 18:00:00;1999-04-13;Obestämd nederbördstyp;G
1999-04-12 18:00:01;1999-04-13 18:00:00;1999-04-13;regn;G
1999-04-12 18:00:01;1999-04-13 18:00:00;1999-04-13;regnskurar;G
1999-04-12 18:00:01;1999-04-13 18:00:00;1999-04-13;duggregn;G
1999-04-13 18:00:01;1999-04-14 18:00:00;1999-04-14;Obestämd nederbördstyp;G
1999-04-14 18:00:01;1999-04-15 18:00:00;1999-04-15;regnskurar;G
1999-04-14 18:00:01;1999-04-15 18:00:00;1999-04-15;Obestämd nederbördstyp;G
1999-04-14 18:00:01;1999-04-15 18:00:00;1999-04-15;duggregn;G
1999-04-14 18:00:01;1999-04-15 18:00:00;1999-04-15;regn;G
1999-04-16 18:00:01;1999-04-17 18:00:00;1999-04-17;Obestämd nederbördstyp;G
1999-04-16 18:00:01;1999-04-17 18:00:00;1999-04-17;regnskurar;G
1999-04-17 18:00:01;1999-04-18 18:00:00;1999-04-18;Obestämd nederbördstyp;G
1999-04-17 18:00:01;1999-04-18 18:00:00;1999-04-18;regn;G
1999-04-17 18:00:01;1999-04-18 18:00:00;1999-04-18;duggregn;G
1999-04-18 18:00:01;1999-04-19 18:00:00;1999-04-19;Obestämd nederbördstyp;G
1999-04-18 18:00:01;1999-04-19 18:00:00;1999-04-19;regn;G
1999-04-18 18:00:01;1999-04-19 18:00:00;1999-04-19;regnskurar;G
1999-04-18 18:00:01;1999-04-19 18:00:00;1999-04-19;duggregn;G
1999-04-21 18:00:01;1999-04-22 18:00:00;1999-04-22;regn;G
1999-04-24 18:00:01;1999-04-25 18:00:00;1999-04-25;regnskurar;G
1999-04-25 18:00:01;1999-04-26 18:00:00;1999-04-26;duggregn;G
1999-04-25 18:00:01;1999-04-26 18:00:00;1999-04-26;regn;G
1999-04-25 18:00:01;1999-04-26 18:00:00;1999-04-26;Obestämd nederbördstyp;G
1999-04-29 18:00:01;1999-04-30 18:00:00;1999-04-30;Obestämd nederbördstyp;G
1999-05-01 18:00:01;1999-05-02 18:00:00;1999-05-02;Obestämd nederbördstyp;G
1999-05-07 18:00:01;1999-05-08 18:00:00;1999-05-08;regn;G
1999-05-07 18:00:01;1999-05-08 18:00:00;1999-05-08;duggregn;G
1999-05-08 18:00:01;1999-05-09 18:00:00;1999-05-09;regnskurar;G
1999-05-08 18:00:01;1999-05-09 18:00:00;1999-05-09;duggregn;G
1999-05-08 18:00:01;1999-05-09 18:00:00;1999-05-09;regn;G
1999-05-09 18:00:01;1999-05-10 18:00:00;1999-05-10;duggregn;G
1999-05-09 18:00:01;1999-05-10 18:00:00;1999-05-10;regn;G
1999-05-10 18:00:01;1999-05-11 18:00:00;1999-05-11;Obestämd nederbördstyp;G
1999-05-10 18:00:01;1999-05-11 18:00:00;1999-05-11;duggregn;G
1999-05-10 18:00:01;1999-05-11 18:00:00;1999-05-11;regn;G
1999-05-10 18:00:01;1999-05-11 18:00:00;1999-05-11;regnskurar;G
1999-05-11 18:00:01;1999-05-12 18:00:00;1999-05-12;Obestämd nederbördstyp;G
1999-05-11 18:00:01;1999-05-12 18:00:00;1999-05-12;regn;G
1999-05-11 18:00:01;1999-05-12 18:00:00;1999-05-12;regnskurar;G
1999-05-11 18:00:01;1999-05-12 18:00:00;1999-05-12;duggregn;G
1999-05-12 18:00:01;1999-05-13 18:00:00;1999-05-13;regnskurar;G
1999-05-12 18:00:01;1999-05-13 18:00:00;1999-05-13;regn;G
1999-05-12 18:00:01;1999-05-13 18:00:00;1999-05-13;duggregn;G
1999-05-13 18:00:01;1999-05-14 18:00:00;1999-05-14;Obestämd nederbördstyp;G
1999-05-13 18:00:01;1999-05-14 18:00:00;1999-05-14;regn;G
1999-05-13 18:00:01;1999-05-14 18:00:00;1999-05-14;regnskurar;G
1999-05-14 18:00:01;1999-05-15 18:00:00;1999-05-15;regnskurar;G
1999-05-14 18:00:01;1999-05-15 18:00:00;1999-05-15;regn;G
1999-05-14 18:00:01;1999-05-15 18:00:00;1999-05-15;duggregn;G
1999-05-14 18:00:01;1999-05-15 18:00:00;1999-05-15;Obestämd nederbördstyp;G
1999-05-21 18:00:01;1999-05-22 18:00:00;1999-05-22;duggregn;G
1999-05-21 18:00:01;1999-05-22 18:00:00;1999-05-22;regn;G
1999-05-22 18:00:01;1999-05-23 18:00:00;1999-05-23;regnskurar;G
1999-05-22 18:00:01;1999-05-23 18:00:00;1999-05-23;regn;G
1999-05-23 18:00:01;1999-05-24 18:00:00;1999-05-24;Obestämd nederbördstyp;G
1999-05-23 18:00:01;1999-05-24 18:00:00;1999-05-24;regnskurar;G
1999-05-24 18:00:01;1999-05-25 18:00:00;1999-05-25;Obestämd nederbördstyp;G
1999-05-24 18:00:01;1999-05-25 18:00:00;1999-05-25;regnskurar;G
1999-05-24 18:00:01;1999-05-25 18:00:00;1999-05-25;regn;G
1999-05-24 18:00:01;1999-05-25 18:00:00;1999-05-25;duggregn;G
1999-05-25 18:00:01;1999-05-26 18:00:00;1999-05-26;regnskurar;G
1999-05-25 18:00:01;1999-05-26 18:00:00;1999-05-26;regn;G
1999-05-29 18:00:01;1999-05-30 18:00:00;1999-05-30;regnskurar;G
1999-05-29 18:00:01;1999-05-30 18:00:00;1999-05-30;regn;G
1999-05-29 18:00:01;1999-05-30 18:00:00;1999-05-30;duggregn;G
1999-06-02 18:00:01;1999-06-03 18:00:00;1999-06-03;regn;G
1999-06-03 18:00:01;1999-06-04 18:00:00;1999-06-04;regn;G
1999-06-03 18:00:01;1999-06-04 18:00:00;1999-06-04;regnskurar;G
1999-06-04 18:00:01;1999-06-05 18:00:00;1999-06-05;regn;G
1999-06-04 18:00:01;1999-06-05 18:00:00;1999-06-05;regnskurar;G
1999-06-05 18:00:01;1999-06-06 18:00:00;1999-06-06;regnskurar;G
1999-06-05 18:00:01;1999-06-06 18:00:00;1999-06-06;Obestämd nederbördstyp;G
1999-06-05 18:00:01;1999-06-06 18:00:00;1999-06-06;duggregn;G
1999-06-05 18:00:01;1999-06-06 18:00:00;1999-06-06;regn;G
1999-06-07 18:00:01;1999-06-08 18:00:00;1999-06-08;regn;G
1999-06-07 18:00:01;1999-06-08 18:00:00;1999-06-08;regnskurar;G
1999-06-08 18:00:01;1999-06-09 18:00:00;1999-06-09;regn;G
1999-06-08 18:00:01;1999-06-09 18:00:00;1999-06-09;regnskurar;G
1999-06-08 18:00:01;1999-06-09 18:00:00;1999-06-09;Obestämd nederbördstyp;G
1999-06-09 18:00:01;1999-06-10 18:00:00;1999-06-10;regn;G
1999-06-09 18:00:01;1999-06-10 18:00:00;1999-06-10;Obestämd nederbördstyp;G
1999-06-09 18:00:01;1999-06-10 18:00:00;1999-06-10;regnskurar;G
1999-06-10 18:00:01;1999-06-11 18:00:00;1999-06-11;regnskurar;G
1999-06-10 18:00:01;1999-06-11 18:00:00;1999-06-11;regn;G
1999-06-10 18:00:01;1999-06-11 18:00:00;1999-06-11;duggregn;G
1999-06-11 18:00:01;1999-06-12 18:00:00;1999-06-12;regnskurar;G
1999-06-11 18:00:01;1999-06-12 18:00:00;1999-06-12;regn;G
1999-06-12 18:00:01;1999-06-13 18:00:00;1999-06-13;duggregn;G
1999-06-12 18:00:01;1999-06-13 18:00:00;1999-06-13;regn;G
1999-06-12 18:00:01;1999-06-13 18:00:00;1999-06-13;regnskurar;G
1999-06-17 18:00:01;1999-06-18 18:00:00;1999-06-18;Obestämd nederbördstyp;G
1999-06-17 18:00:01;1999-06-18 18:00:00;1999-06-18;regn;G
1999-06-19 18:00:01;1999-06-20 18:00:00;1999-06-20;duggregn;G
1999-06-19 18:00:01;1999-06-20 18:00:00;1999-06-20;regn;G
1999-06-19 18:00:01;1999-06-20 18:00:00;1999-06-20;regnskurar;G
1999-06-20 18:00:01;1999-06-21 18:00:00;1999-06-21;duggregn;G
